,group1,group2,mean_rank_diff,z_stat,p_value_raw,p_value_holm,significant
0,Beige,Metal,49711.058116791435,43.934214163162125,0.0,0.0,True
1,Black,Metal,40533.573641750205,38.169862916840685,0.0,0.0,True
2,Blue,White,16620.256446369218,39.31997852613911,0.0,0.0,True
3,Blue,Metal,48064.26256835852,44.23419228187908,0.0,0.0,True
4,Green,Metal,50494.801037250596,40.88493199434295,0.0,0.0,True
5,Brown,Metal,50083.97673858746,39.42504533205802,0.0,0.0,True
6,Khaki green,Metal,47076.457760131016,37.972743927710766,0.0,0.0,True
7,Grey,Metal,39767.65737870858,34.851285518537125,4.0709671181402345e-266,4.600192843498465e-264,True
8,Beige,White,18267.051994802132,34.628903991503265,9.281947499596082e-263,1.039578119954761e-260,True
9,Blue,Pink,20650.062550045666,34.07969930169373,1.474485296299051e-254,1.6366786788919465e-252,True
10,Beige,Pink,22296.85809847858,32.63623298204359,1.2564922485727035e-233,1.382141473429974e-231,True
11,Metal,Mole,-47004.4423147404,30.501401346540597,2.496727640288387e-204,2.721433127914342e-202,True
12,Metal,Red,-34475.57663677509,30.002363849270548,9.140862507605874e-198,9.872131508214343e-196,True
13,Metal,Yellow,-37534.034230391495,29.745708189718513,1.970578118936551e-194,2.1085185872621096e-192,True
14,Metal,White,-31444.006121989303,28.92453398971293,5.868802517888123e-184,6.220930668961412e-182,True
15,Metal,Turquoise,-48368.44883242693,28.782486174770074,3.5536306865259104e-182,3.731312220852206e-180,True
16,Green,Pink,23080.60101893774,27.356452457226236,9.049588195632514e-165,9.411571723457814e-163,True
17,Metal,Orange,-34449.77542374111,26.853318826678635,7.714494922332463e-159,7.945929770002437e-157,True
18,Green,White,19050.794915261293,26.33426831055166,7.772378790574296e-153,7.927826366385782e-151,True
19,Black,White,9089.567519760902,25.63888570754268,5.624833153106994e-145,5.681081484638064e-143,True
20,Brown,Pink,22669.776720274604,25.340830716248853,1.1341549931119156e-141,1.1341549931119155e-139,True
21,Blue,Red,13588.68593158343,24.123934121521646,1.4022615653008072e-128,1.388238949647799e-126,True
22,Brown,White,18639.970616598155,23.8306625714182,1.6070170453933128e-125,1.5748767044854467e-123,True
