,group1,group2,mean_diff,se,df,q_stat,p_value,ci_low,ci_high,significant
0,Beige,White,0.0074817488936670395,0.00026459144959882925,15497.828864833342,39.98916356419041,0.0,0.006575096841867732,0.008388400945466348,True
1,Beige,Yellow,0.005820341438540825,0.000367454733903159,8718.873934547084,22.400598061680874,0.0,0.004561054055778148,0.007079628821303502,True
2,Black,Blue,-0.0025569542678244954,0.00015440303250131062,38396.06913384915,23.419743416596916,0.0,-0.003085980963949469,-0.0020279275716995216,True
3,Beige,Orange,0.006437966404577122,0.00038846176637612656,7258.624364796951,23.437723327035915,0.0,0.005106607599752426,0.007769325209401818,True
4,Black,Pink,0.004479029427300035,0.0002241757948322437,8806.218095334383,28.25596834437912,0.0,0.0037107690236916355,0.005247289830908434,True
5,Black,Red,0.0025709038101092777,0.00020448255537417148,11426.84744083563,17.780524256263522,0.0,0.001870180053316742,0.0032716275669018133,True
6,Black,Metal,0.01258515920075362,0.00035851386437612105,1867.6695541094732,49.644113086957546,0.0,0.011355179839270254,0.013815138562236987,True
7,Black,Green,-0.003526738654232364,0.0002978269329248484,4955.924069739046,16.746509749067503,0.0,-0.004547636894818266,-0.002505840413646462,True
8,Green,Pink,0.008005768081532399,0.0003535979290180734,8348.867461807291,32.01903876970405,0.0,0.006793952846675246,0.009217583316389551,True
9,Brown,Red,0.008001265814141848,0.00047386766340195543,4828.599905100903,23.879026792577957,0.0,0.006376908698129878,0.009625622930153819,True
10,Brown,Metal,0.01801552120478619,0.0005579154397537117,5063.409524818561,45.66605009582765,0.0,0.016103106510060562,0.01992793589951182,True
11,Brown,Grey,0.00565083940626411,0.00048314876731831515,5184.33203816587,16.540441097443512,0.0,0.003994728521755102,0.007306950290773119,True
12,Blue,Yellow,0.003890497343652693,0.0003124368418222523,5291.611888413119,17.609940222415464,0.0,0.002819554242115275,0.004961440445190111,True
13,Blue,Red,0.005127858077933773,0.0002274406259658375,16129.222029856735,31.884745343726042,0.0,0.004348512532761563,0.005907203623105983,True
14,Blue,Orange,0.0045081223096889896,0.00033689218245023443,4524.635236441246,18.924296980802367,0.0,0.0033532580322101877,0.005662986587167792,True
15,Blue,Metal,0.015142113468578116,0.00037208643328839685,2163.8071646475037,57.551634014180166,0.0,0.013865810697281898,0.016418416239874334,True
16,Green,Grey,0.003747216056463904,0.0003542202603080911,8713.408554210158,14.960645570031025,0.0,0.00253328371028122,0.004961148402646588,True
17,Brown,Orange,0.007381530045897065,0.0005350865973600713,6246.589817219972,19.509103673077902,0.0,0.005547544568860512,0.009215515522933617,True
18,Brown,Yellow,0.006763905079860768,0.0005200366373690993,6055.65213180033,18.394100744394514,0.0,0.004981479481052936,0.0085463306786686,True
