_color_raw,count,mean_price,median_price,std_price,q1,q3,sem,ci95_low,ci95_high
Brown,3498,0.03313468226100629,0.027101695,0.025759832473043507,0.016932203,0.040661017,0.00043554509955317773,0.032280733989546166,0.03398863053246642
Mole,1423,0.03252243409135629,0.02540678,0.026143760980803413,0.016932203,0.03659322,0.0006930516699077326,0.03116292061784425,0.033881947564868335
Beige,9692,0.03219111861968634,0.02540678,0.022937404200883315,0.016932203,0.040661017,0.0002329901521662862,0.031734409271753077,0.03264782796761961
Turquoise,1054,0.03209587362808349,0.02540678,0.023184980630503203,0.016932203,0.042355932,0.0007141450527670546,0.03069456435011746,0.03349718290604952
Green,4212,0.03123105891120608,0.02540678,0.018554886293558018,0.016932203,0.042355932,0.0002858999741103735,0.030670544151204304,0.03179157367120786
Blue,20566,0.03026127452479821,0.02540678,0.018631083167681094,0.016932203,0.035576271,0.00012991616399236393,0.03000662853504485,0.03051592051455157
Khaki green,4102,0.030159574857386642,0.02540678,0.019927184337428627,0.016932203,0.038118644,0.0003111344569816605,0.029549582495774152,0.030769567218999132
Black,51013,0.027704320256973714,0.02540678,0.018845607787034483,0.015915254,0.033881356,8.343912019616415e-05,0.027540778706129154,0.027867861807818275
Grey,8688,0.027483842854742174,0.02540678,0.01949240931469101,0.015237288,0.033881356,0.00020912483739723392,0.027073908588929375,0.027893777120554974
Yellow,3649,0.02637077718114552,0.022881356,0.01716435386530897,0.015237288,0.033881356,0.0002841453333443507,0.02581367772323001,0.02692787663906103
Orange,3296,0.02575315221510922,0.022016949,0.017845261727863007,0.013542373,0.030491525,0.0003108345748619209,0.02514370377365384,0.0263626006565646
Red,7989,0.02513341644686444,0.022016949,0.01668606808300034,0.014389831,0.031610169,0.0001866843021607362,0.024767466488504673,0.025499366405224207
White,20308,0.024709369726019302,0.021169492,0.01786973824482807,0.013542373,0.033881356,0.000125396268661953,0.024463582905949494,0.02495515654608911
Lilac Purple,574,0.023850115135888503,0.019813559,0.020528759677655627,0.010152542,0.030491525,0.0008568538736602146,0.02216715757420945,0.025533072697567556
Pink,6558,0.023225290829673683,0.016932203,0.016849733765679584,0.012186441,0.030491525,0.00020806897945046545,0.022817407832262826,0.02363317382708454
Metal,1672,0.015119161056220095,0.013542373,0.014257111003760906,0.008457627,0.016932203,0.0003486690467632446,0.01443528693386111,0.015803035178579082
